udev	259.5-0ubuntu3.4	amd64	important
unattended-upgrades	2.12ubuntu9	all	optional
unminimize	0.5build1	amd64	optional
upower	1.91.1-1	amd64	optional
usb.ids	2025.12.13-1	all	optional
usbmuxd	1.1.1-7	amd64	optional
usbutils	1:019-1	amd64	optional
util-linux	2.41.3-3ubuntu2.2	amd64	required
wget	1.25.0-2ubuntu4.4	amd64	standard
wireless-regdb	2026.05.30-0ubuntu1~26.04.1	all	optional
xauth	1:1.1.2-1.1build1	amd64	optional
xdg-user-dirs	0.19-1	amd64	optional
xfsprogs	6.18.0-3	amd64	optional
xkb-data	2.46-2	all	optional
xml-core	0.19build1	all	optional
xz-utils	5.8.3-1	amd64	standard
zlib1g	1:1.3.dfsg+really1.3.1-1ubuntu3.1	amd64	required
zstd	1.5.7+dfsg-3	amd64	optional
